run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
0,rt,idle,0,2.000,1783576332007131
1,rt,idle,0,1.949,1783576332009619
2,rt,idle,0,1.904,1783576332012006
3,rt,idle,0,2.001,1783576332014469
4,rt,idle,0,1.979,1783576332016891
5,rt,idle,0,1.911,1783576332019317
6,rt,idle,0,1.955,1783576332021731
7,rt,idle,0,1.900,1783576332024140
8,rt,idle,0,1.963,1783576332026567
9,rt,idle,0,1.942,1783576332028981
10,rt,idle,0,1.907,1783576332031371
11,rt,idle,0,2.011,1783576332033855
12,rt,idle,0,1.897,1783576332036232
13,rt,idle,0,1.931,1783576332038717
14,rt,idle,0,1.922,1783576332041125
15,rt,idle,0,1.860,1783576332043469
16,rt,idle,0,1.972,1783576332045891
17,rt,idle,0,1.937,1783576332048313
18,rt,idle,0,1.913,1783576332050737
19,rt,idle,0,1.907,1783576332053129
20,rt,idle,0,1.919,1783576332055500
21,rt,idle,0,2.161,1783576332058124
22,rt,idle,0,1.930,1783576332060597
23,rt,idle,0,1.987,1783576332063029
24,rt,idle,0,1.971,1783576332065512
25,rt,idle,0,2.032,1783576332068015
26,rt,idle,0,2.036,1783576332070505
27,rt,idle,0,2.000,1783576332072991
28,rt,idle,0,1.884,1783576332075361
29,rt,idle,0,2.018,1783576332077843
30,rt,idle,0,1.961,1783576332080267
31,rt,idle,0,1.937,1783576332082737
32,rt,idle,0,2.063,1783576332085315
33,rt,idle,0,1.940,1783576332087710
34,rt,idle,0,1.933,1783576332090130
35,rt,idle,0,1.927,1783576332092571
36,rt,idle,0,1.947,1783576332094980
37,rt,idle,0,1.995,1783576332097436
38,rt,idle,0,1.919,1783576332099825
39,rt,idle,0,1.984,1783576332102278
40,rt,idle,0,1.959,1783576332104700
41,rt,idle,0,1.968,1783576332107218
42,rt,idle,0,1.955,1783576332109618
43,rt,idle,0,1.894,1783576332111982
44,rt,idle,0,1.954,1783576332114390
45,rt,idle,0,1.969,1783576332116821
46,rt,idle,0,1.927,1783576332119227
47,rt,idle,0,2.005,1783576332121703
48,rt,idle,0,1.911,1783576332124096
49,rt,idle,0,2.043,1783576332126615
50,rt,idle,0,2.003,1783576332129089
51,rt,idle,0,1.910,1783576332131463
52,rt,idle,0,2.003,1783576332133908
53,rt,idle,0,1.913,1783576332136359
54,rt,idle,0,1.968,1783576332138825
55,rt,idle,0,1.986,1783576332141281
56,rt,idle,0,1.983,1783576332143723
57,rt,idle,0,2.024,1783576332146247
