run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
0,vanilla,idle,2,1.620,1783580759875576
1,vanilla,idle,2,1.577,1783580759877565
2,vanilla,idle,4,1.502,1783580759879451
3,vanilla,idle,4,1.565,1783580759881395
4,vanilla,idle,5,1.523,1783580759883294
5,vanilla,idle,0,1.504,1783580759885214
6,vanilla,idle,1,1.513,1783580759887099
7,vanilla,idle,6,1.501,1783580759888970
8,vanilla,idle,2,1.530,1783580759890949
9,vanilla,idle,7,1.497,1783580759892824
10,vanilla,idle,1,1.552,1783580759894738
11,vanilla,idle,5,1.491,1783580759896620
12,vanilla,idle,5,1.573,1783580759898584
13,vanilla,idle,4,1.479,1783580759900467
14,vanilla,idle,5,1.545,1783580759902393
15,vanilla,idle,0,1.499,1783580759904269
16,vanilla,idle,3,1.621,1783580759906264
17,vanilla,idle,7,1.496,1783580759908134
18,vanilla,idle,1,1.572,1783580759910067
19,vanilla,idle,6,1.499,1783580759911938
20,vanilla,idle,3,1.546,1783580759913848
21,vanilla,idle,4,1.495,1783580759915713
22,vanilla,idle,1,1.552,1783580759917654
23,vanilla,idle,7,1.508,1783580759919544
24,vanilla,idle,5,1.542,1783580759921451
25,vanilla,idle,2,1.508,1783580759923339
26,vanilla,idle,2,1.544,1783580759925270
27,vanilla,idle,6,1.519,1783580759927158
28,vanilla,idle,0,1.512,1783580759929088
29,vanilla,idle,5,1.516,1783580759930979
30,vanilla,idle,4,1.492,1783580759932857
31,vanilla,idle,3,1.531,1783580759934835
32,vanilla,idle,6,1.477,1783580759936683
33,vanilla,idle,7,1.537,1783580759938636
34,vanilla,idle,2,1.511,1783580759940534
35,vanilla,idle,0,1.560,1783580759942465
36,vanilla,idle,1,1.504,1783580759944332
37,vanilla,idle,4,1.562,1783580759946267
38,vanilla,idle,1,1.503,1783580759948141
39,vanilla,idle,2,1.571,1783580759950075
40,vanilla,idle,7,1.514,1783580759951958
41,vanilla,idle,4,1.599,1783580759953965
42,vanilla,idle,1,1.492,1783580759955822
43,vanilla,idle,2,1.540,1783580759957734
44,vanilla,idle,5,1.493,1783580759959617
45,vanilla,idle,4,1.546,1783580759961543
46,vanilla,idle,3,1.484,1783580759963389
47,vanilla,idle,1,1.578,1783580759965350
48,vanilla,idle,7,1.500,1783580759967234
49,vanilla,idle,4,1.547,1783580759969206
50,vanilla,idle,6,1.537,1783580759971122
51,vanilla,idle,2,1.501,1783580759972994
52,vanilla,idle,6,1.513,1783580759974941
53,vanilla,idle,1,1.510,1783580759976820
54,vanilla,idle,7,1.513,1783580759978758
55,vanilla,idle,4,1.501,1783580759980643
56,vanilla,idle,2,1.573,1783580759982626
57,vanilla,idle,4,1.508,1783580759984502
58,vanilla,idle,5,1.542,1783580759986425
59,vanilla,idle,4,1.509,1783580759988310
60,vanilla,idle,0,1.579,1783580759990259
61,vanilla,idle,4,1.508,1783580759992130
62,vanilla,idle,2,1.542,1783580759994048
63,vanilla,idle,7,1.495,1783580759995927
64,vanilla,idle,2,1.612,1783580759997909
65,vanilla,idle,5,1.502,1783580759999796
66,vanilla,idle,7,1.557,1783580760001725
67,vanilla,idle,0,1.519,1783580760003614
68,vanilla,idle,5,1.573,1783580760005566
69,vanilla,idle,5,1.486,1783580760007431
70,vanilla,idle,4,1.555,1783580760009357
71,vanilla,idle,1,1.514,1783580760011234
72,vanilla,idle,2,1.511,1783580760013167
73,vanilla,idle,1,1.528,1783580760015069
74,vanilla,idle,0,1.482,1783580760016930
75,vanilla,idle,7,1.530,1783580760018891
76,vanilla,idle,0,1.497,1783580760020757
77,vanilla,idle,7,1.561,1783580760022707
78,vanilla,idle,2,1.503,1783580760024599
79,vanilla,idle,0,1.569,1783580760026561
80,vanilla,idle,5,1.482,1783580760028407
81,vanilla,idle,5,1.543,1783580760030333
82,vanilla,idle,6,1.491,1783580760032206
