Paper Title,Author,Journal/Conference,Publish Date,Citation Count,Selection Rationale,Keywords,Abstract,Paper URL
A novel fast short-time root music method for vibration monitoring of high-speed spindles,"Huiguang Zhang, Baoguo Liu, Wei Feng, Zongtang Li",ArXiv.org,2025-06-20,0,"Set A 후보: STM32H743(ARM Cortex-M7, 600MHz)에서 FreeRTOS 10.4.3을 사용해 bearing 진동 모니터링을 수행. sampling frequency 51.2kHz, rotational speed 200Hz(12,000RPM)를 명시.본문에서 RTOS 버전과 platform specification이 확인되는 드문 사례.",FreeRTOS/STM32/bearing vibration/high-speed spindle/real-time,"Ultra-high-speed spindle bearings challenge traditional vibration monitoring due to broadband noise, non-stationarity, and limited time-frequency resolution. We present a fast Short-Time Root-MUSIC (fSTrM) algorithm that exploits FFT-accelerated Lanczos bidiagonalization to reduce computational complexity from $\mathcal{O}(N^3)$ to $SN\log_2N+S^2(N+S)+M^2(N+M)$ while preserving parametric super-resolution. The method constructs Hankel matrices from 16 ms signal frames and extracts fault frequencies through polynomial rooting on the unit circle. Experimental validation on the Politecnico di Torino bearing dataset demonstrates breakthrough micro-defect detection capabilities. The algorithm reliably identifies 150 $\mu$m defects -- previously undetectable by conventional methods -- providing 72+ hours additional warning time. Compared to STFT and wavelet methods, fSTrM achieves 1.2 Hz frequency resolution (vs. 12.5 Hz), 93\% detection rate at $-$5 dB SNR, and quantifies defect severity through harmonic content analysis. Critically, the algorithm processes each frame in 2.4 ms on embedded ARM Cortex-M7 hardware, enabling real-time deployment. This advancement transforms bearing monitoring from failure prevention to continuous degradation assessment, establishing a new paradigm for predictive maintenance in aerospace and precision machining.",https://arxiv.org/abs/2506.17600
TinyML Enabled Real-Time Bearing Fault Classification in Motors Using Vibration Signals,"Yogeswar Reddy Thota, Mojtaba Afshar, Samantha Boden, Brendan Dunlap, Bilal Akin, T. Nikoubin",,2025-06-29,0,"Set B 대조군: TinyML 기반 bearing fault classification, MCU 배포(Edge Impulse), latency 30ms, RAM 29.3KB. real-time이라고 표현하지만 deadline/RTOS/scheduling은 미명시.",TinyML/bearing fault/MCU/Edge Impulse/latency 30ms,"Distributed bearing faults, unlike localized defects, produce irregular and non-stationary vibration patterns that challenge conventional diagnostic methods. This work presents a lightweight, edge-deployable TinyML framework for real-time classification of such faults using raw x, y, z-axis vibration signals collected at 3000 RPM under five load conditions (0%–100%). Both feature-engineered and raw-signal approaches were evaluated. A 1D Convolutional Neural Network (1D-CNN) trained on raw signals achieved 99.36% accuracy, significantly outperforming a Deep Neural Network (DNN) trained on time-domain and spectral features. The system classifies six fault conditions—healthy, lubrication failure, contamination, flaking, electrical erosion, and composite faults—demonstrating robustness even across varying fault severities. Deployment on microcontrollers using Edge Impulse into Microcontrollers resulted in low-latency (30 ms) and low-memory (29.3 KB RAM, 69.7 KB flash) inference, confirming its suitability for Industrial IoT (IIoT) environments. This research validates the strength of raw signal-based learning and highlights the potential of TinyML for scalable, real-time, and autonomous diagnostics in embedded motor health monitoring systems. Figure 1: Experimental test setup implemented in the laboratory. For data collection using (ADXL354C) [1]",https://dl.acm.org/doi/10.1145/3716368.3735272
A Novel Bearing Fault Diagnosis Method based on Stacked Autoencoder and End-edge Collaboration,"Chen Yang, Zou Lai, Yingchao Wang, Shulin Lan, Lihui Wang, Liehuang Zhu",,2023-05-24,7,"Set B 대조군: end-edge collaborative FD, MCU(TinyML stacked autoencoder), 384x compression, 6.44kB RAM. dynamic adaptive collaboration mechanism을 제안하나 scheduling guarantee는 없음.",end-edge collaboration/TinyML/MCU/stacked autoencoder/adaptive,"The deep learning based fault diagnosis methods show excellent performance. However, cost and delay factors make it difficult for their widespread industrial application. Microcontroller units (MCUs) in industrial equipment have the advantages of real-time response and high reliability and usually have some redundant computational resource. However, even lightweight deep learning models cannot be deployed in MCUs due to severely limited computational resources. This paper proposes an end-edge collaborative fault diagnosis framework, by combining real-time decision-making at the end with dynamic adaptive diagnosis at the edge to improve inference performance. The model’s minimum input size is deduced through theoretical analysis of the bearing working mechanism, and to make the model suitable for MCUs, we leverage the differential characteristics of the bearing vibration data and proposed a TinyML model based on stacked autoencoders. The pre-autoencoder extracts differential features, while the post-autoencoder performs fault diagnosis based on pooled differential features. Finally, the stacked-autoencoder model and collaborative framework were evaluated using the CWRU bearing dataset, achieving 384x compression in parameter size and 100% accuracy for binary fault classification, requiring only 6.44kB RAM. With the dynamic adaptive collaboration mechanism, the proposed fault diagnosis framework can reduce the edge load by approximately 94%.",https://ieeexplore.ieee.org/document/10152598/
Real-Time Fault Diagnosis of Motor Bearing via Improved Cyclostationary Analysis Implemented onto Edge Computing System,"Changbo He, Pengpeng Han, Jingfeng Lu, Xiaoxian Wang, Juncai Song, Zhixiong Li, Siliang Lu",IEEE Transactions on Instrumentation and Measurement,2023-01-01,22,"Set B 대조군: edge computing MCU에 cyclostationary analysis 탑재, sound signal로 motor bearing 실시간 진단. MCU 배포 확인.",edge computing/MCU/cyclostationary/motor bearing/sound signal,"Rolling bearing is a key component inside a motor, and its health status directly affects the operational reliability of the motor. Therefore, it is absolutely necessary to conduct research on bearing fault diagnosis. Most of the recent bearing fault diagnosis algorithms are implemented on a desktop/server, which might not satisfy the real-time diagnosis requirement in industrial fields. In this study, an improved cyclostationary analysis algorithm is proposed and implemented onto an edge-computing system to diagnose a motor fault in real time. Considering the traditional contact test methods based on vibration signals are difficult to carry out under complex working environments, the sound signal is collected as the analysis object. Guided by cyclostationary theory, an improved cyclic feature enhancement algorithm is proposed and applied to the acquired signal to extract the distinct features related to the bearing faults. The simulation signal is constructed and analyzed first to verify the superiority of the improved algorithm. Subsequently, experimental fault data is further analyzed to demonstrate the advantages of the proposed method. Furthermore, the proposed algorithm is deployed onto an edge-computing system based on a microcontroller unit. The online diagnosis result can be directly observed through an external display. The edge computing system with the embedded algorithm shows great potential in motor real-time fault diagnosis and intelligent maintenance.",https://ieeexplore.ieee.org/document/10184133/
Real-Time Bearing Fault Detection and Visualization Using 1D CNN: A Simulated Deployment with the CWRU Dataset,"Barathan Pubalan, Mohd Syahril Ramadhan Mohd Saufi, M. Salman Leong, Annisa Jamali",,2025-09-10,0,"Set B 대조군: 1D-CNN 기반 RT-FDD, 0.03s latency, CWRU dataset. 'real-time' 표현 사용하나 deadline/RTOS/scheduling은 없고 simulated testing만 수행.",1D-CNN/bearing fault/RT-FDD/CWRU/latency 0.03s,"Reliable real-time fault detection and diagnosis (RT-FDD) of rotating machinery is critical for reducing downtime and improving industrial productivity. While many studies emphasize fast prediction times, they often overlook a complete framework integrating data acquisition, low-latency processing, and intuitive visualization. This paper presents a fully integrated RT-FDD system for bearing fault detection, combining continuous vibration data acquisition, real-time processing, and a graphical user interface (GUI) displaying live signals, fault classification results, and confidence levels. A 1D convolutional neural network (1D-CNN) was implemented as the core detection model and evaluated against 2D CNNs and traditional machine learning baselines, including Support Vector Machine (SVM) and Random Forest (RF), using the Case Western Reserve University (CWRU) dataset. In simulated real-time testing at 0 HP, the 1D CNN achieved near-perfect aggregated prediction confidence for most fault classes with the lowest latency (0.03 s per prediction), outperforming CWT-based (2.44 s) and STFT-based (0.13 s) 2D CNN models as well as SVM and RF (both 0.07 s). Cross-load evaluation revealed performance degradation on unseen loads (1-3 HP), but few-shot transfer learning with only 20 labeled samples per class restored high accuracy, with the 1D CNN consistently outperforming both 2D CNNs and classical baselines. These results validate the proposed RT-FDD framework and highlight future directions, including exploration of hybrid models, hardware-in-the-loop testing, and industrial deployment.",https://ieeexplore.ieee.org/document/11233248/
IoT device for detecting abnormal vibrations in motors using TinyML,"Stalin Arciniegas, Dulce Rivero, Jefferson Piñan, Elizabeth Diaz, Francklin Rivas",Discover Internet of Things,2025-04-16,18,"Set B 대조군: ESP32 TinyML 기반 motor bearing fault detection, 300ms end-to-end latency. adaptive sampling을 언급하는지 원문 확인 필요.",TinyML/ESP32/motor bearing/300ms latency/IoT,"This paper presents an innovative approach to motor bearing fault detection using TinyML on an IoT device. We developed a system that integrates spectral analysis and deep learning on a resource-constrained edge device, enabling real-time monitoring and anomaly detection. Our method achieves 96.5(% accuracy in laboratory outperforming baseline Random Forest and SVM models. The system's low latency (300 ms from data collection to alert generation) and computational efficiency make it suitable for real-time industrial applications. We address challenges such as environmental noise and connectivity issues and discuss future directions including multi-modal sensor integration and federated learning. This research contributes to the growing field of edge AI for predictive maintenance, demonstrating the viability of sophisticated machine learning models on low-power microcontrollers.",https://link.springer.com/article/10.1007/s43926-025-00142-4
Embedded TinyML for Predictive Maintenance: Vibration Analysis on ESP32 with Real-Time Fault Detection in Industrial Equipment,"Shubbham Gupta, Shiv Naresh Shivhare",International Journal on Computational Modelling Applications,2025-05-08,4,"Set B 대조군: ESP32 TinyML 기반 vibration FD, 'adaptive sampling' 언급. 원문에서 adaptive sampling의 구체적 의미와 deadline/RTOS 여부 확인 필요.",TinyML/ESP32/ADXL345/adaptive sampling/vibration,"The rapid evolution of embedded intelligence within industrial environments has catalyzed the development of lightweight, real-time predictive maintenance systems. Conventional fault diagnosis approaches often depend on centralized, resource-intensive infrastructures that are ill-suited for distributed and energy-constrained settings. Addressing these limitations, this paper introduces a TinyML-based framework for real-time vibration analysis and fault detection deployed on the ESP32 microcontroller, a cost-effective, ultra-low-power embedded platform. Vibration data—acquired using a triaxial ADXL345 accelerometer—serve as key indicators of mechanical integrity, enabling the early identification of anomalies such as misalignment, imbalance, and bearing defects. 
The proposed system features an optimized 1D convolutional neural network (CNN) designed to operate within the memory and processing limitations of the ESP32. The architecture incorporates adaptive sampling, in-situ feature extraction, and edge-based classification, allowing for autonomous decision-making without cloud dependency. A custom dataset encompassing four machine states—normal, misaligned, imbalanced, and bearing-worn—is created using controlled experimental setups to simulate real-world operational conditions. Two deep learning models are implemented and compared for performance in terms of accuracy, memory usage, and inference time on-device. Results demonstrate that the proposed TinyML approach achieves over 92% fault detection accuracy while maintaining a compact computational footprint. 
This framework offers a scalable, low-latency solution for predictive maintenance in Industry 4.0 applications, reducing unplanned downtime and enhancing machine reliability. The integration of vibration-based analysis with embedded machine learning advances the field toward decentralized, real-time condition monitoring in smart industrial systems.",https://submissions.adroidjournals.com/index.php/ijcma/article/view/114
Real-Time Fault Detection in Induction Motors Using TinyML: An Evaluation of the Edge Impulse Platform,João L. M. P. de Lima,,2025-04-23,0,"Set B 대조군: Edge Impulse 기반 TinyML, Arduino Nano 33 BLE, broken rotor bar 검출. quantization으로 latency 1ms 달성.하지만 single-bar fault에서 accuracy 저하.",TinyML/Edge Impulse/Arduino Nano/induction motor/broken rotor bar,"This article evaluates the Edge Impulse platform for developing TinyML-based fault detection models in induction motors, focusing on identifying broken rotor bars using vibration data collected from the motor casing. The study aims to assess the platform’s capabilities in creating non-intrusive, real-time detection systems implemented on low-power microcontrollers, such as the Arduino Nano 33 BLE, for resource-constrained industrial environments. Using the platform’s tools, an artificial neural network model was trained with real vibration data and optimized for embedded implementation. The model achieved 98.6% accuracy for detecting four broken bars and 95.8% accuracy for the more complex case of detecting a single broken bar, operating within the memory limits of the device and maintaining low detection latencies. Quantization, applied through Edge Impulse’s workflow, successfully reduced latency to 1 ms for the four-bar fault without significantly compromising accuracy, but it caused a substantial accuracy drop for the single-bar fault, highlighting limitations in handling more complex scenarios. This evaluation demonstrates the practicality and constraints of using the Edge Impulse platform for industrial IoT applications, particularly in designing TinyML solutions for fault detection.",https://ieeexplore.ieee.org/document/11118459/
A Dual-Microcontroller IoT-Based Real-Time Monitoring System for Predictive Maintenance of Induction Motors,"Ali Husein Alasiry, Haqifal Hanesta Saidya, Niam Tamami",,2025-08-05,0,"Set B 대조군: dual-MCU(STM32+ESP32) 기반 실시간 모니터링, 402ms average end-to-end latency. ISO 10816-3 기준 적용.RTOS 미확인.",dual-microcontroller/STM32/ESP32/vibration/ISO 10816-3/402ms,"Induction motors are critical to industrial operations but are prone to mechanical and electrical failures such as bearing wear, overheating, and current imbalance, which can lead to costly downtime. Traditional maintenance approaches often lack real-time insight, while existing IoT-based systems are either cost-prohibitive or insufficiently validated for industrial deployment. This paper presents a low-cost dual-microcontroller Internet-of-Things (IoT) platform that delivers real-time, multi-parameter condition monitoring to support predictive maintenance of three-phase IMs. An STM32F103C8T6 microcontroller acquires line voltage, phase current, surface temperature, and tri-axial vibration, while an ESP32-WROOM-32 transmits 10 Hz data packets to the Blynk cloud and issues Telegram alerts. A 58.9 Hz RC low-pass filter suppresses inverter harmonics, yielding mean absolute errors below 1 V for voltage, 2.5% FS for current, and 1.3° C for temperature. End-to-end latency averages 402 ms, well within supervisory-control requirements. In a 5-h validation, the system discriminated normal motors from those with rear-bearing damage by a rise in total vibration velocity from 0.36 mm/s to 0.94 mm/s (ISO 10816-3 <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\text{limit} =0.71 ~\text{mm} / \mathrm{s}$</tex>). The complete bill of materials is under USD 35, and the firmware footprint is 57 kB, demonstrating a scalable route to condition-based maintenance in small- and medium-sized plants.",https://ieeexplore.ieee.org/document/11160991/
Edge-Oriented Bearing Fault Diagnosis via Triple-Lightweight Network with Adaptive Pruning,"Zhaokang Zhan, Siqi Zhang, Jiacan Xu, Dazhong Ma",IEEE Transactions on Instrumentation and Measurement,2026-01-01,0,"Set B 대조군: adaptive pruning triple-lightweight network(APTL-net), edge 배포, 47.82% parameter reduction, 20.59% latency reduction. 'adaptive pruning'은 training-time pruning이지 runtime adaptation이 아닐 가능성 높음.",adaptive pruning/edge deployment/bearing fault/lightweight/APTL-net,"Real-time diagnosis of motor bearing faults is essential for fault detection and timely maintenance, minimizing operational risks. However, most existing approaches often depend on cloud platforms or high-performance local servers, which introduce latency and potential security vulnerabilities due to raw data transmission. To overcome these limitations, this paper presents an adaptive pruning triple-lightweight network (APTL-net), which achieves model lightweighting for edge deployment across three stages: model construction, feature extraction, and structural pruning. First, a lightweight fault diagnosis framework optimized for edge environments is proposed, enabling parallel training and recursive inference to eliminate the traditional trade-off between training efficiency and inference performance. Second, a frequency-domain decomposition-based, weight-sharing multiscale convolution module is designed to efficiently extract multiscale features from periodic signals while harmonizing scale variations. Moreover, a fully automated adaptive pruning strategy is proposed to dynamically group and remove redundant structures during training without manual intervention. Finally, APTL-net is deployed on the edge device and validated on the physical platform equipped with real hardware. Experimental results indicate that APTL-net achieves a diagnostic accuracy of 99.54% while reducing parameters by 47.82%, FLOPs by 49.98%, and edge inference latency by 20.59%, thereby delivering superior performance over existing lightweight fault diagnosis networks.",https://ieeexplore.ieee.org/document/11550060/
